ticker,collect_date
GOOGL,2023-01-19
GOOGL,2023-01-20
GOOGL,2023-01-21
GOOGL,2023-01-22
GOOGL,2023-01-23
GOOGL,2023-01-24
GOOGL,2023-01-25
GOOGL,2023-01-26
GOOGL,2023-01-27
GOOGL,2023-01-28
GOOGL,2023-01-29
GOOGL,2023-01-30
GOOGL,2023-01-31
GOOGL,2023-02-01
GOOGL,2023-02-15
GOOGL,2023-02-16
GOOGL,2023-02-17
GOOGL,2023-02-18
GOOGL,2023-02-19
GOOGL,2023-02-20
GOOGL,2023-02-21
GOOGL,2023-03-13
GOOGL,2023-03-14
GOOGL,2023-03-15
GOOGL,2023-03-16
GOOGL,2023-03-17
GOOGL,2023-03-18
GOOGL,2023-03-19
GOOGL,2023-03-20
GOOGL,2023-03-21
GOOGL,2023-03-22
GOOGL,2023-03-23
GOOGL,2023-03-24
GOOGL,2023-03-25
GOOGL,2023-03-26
GOOGL,2023-03-27
GOOGL,2023-03-28
GOOGL,2023-03-29
GOOGL,2023-03-30
GOOGL,2023-03-31
GOOGL,2023-04-01
GOOGL,2023-04-02
GOOGL,2023-04-03
GOOGL,2023-04-04
GOOGL,2023-04-12
GOOGL,2023-04-13
GOOGL,2023-04-14
GOOGL,2023-04-15
GOOGL,2023-04-16
GOOGL,2023-04-17
GOOGL,2023-04-18
GOOGL,2023-04-19
GOOGL,2023-04-20
GOOGL,2023-04-21
GOOGL,2023-04-22
GOOGL,2023-04-23
GOOGL,2023-04-24
GOOGL,2023-04-25
GOOGL,2023-04-26
GOOGL,2023-04-27
GOOGL,2023-04-28
GOOGL,2023-04-29
GOOGL,2023-04-30
GOOGL,2023-05-01
