ticker,company,collect_date,window_type,earnings_date,offset_from_ed,source_event_ticker
AMZN,Amazon,2023-02-01,sentiment_spillover,2023-02-02,-1,AAPL
NVDA,NVIDIA,2023-02-01,sentiment_spillover,2023-02-02,-1,AAPL
META,Meta,2023-02-01,sentiment_spillover,2023-02-02,-1,AAPL
TSLA,Tesla,2023-02-01,sentiment_spillover,2023-02-02,-1,AAPL
MSFT,Microsoft,2023-01-31,sentiment_spillover,2023-02-02,-2,AAPL
GOOGL,Alphabet,2023-01-31,sentiment_spillover,2023-02-02,-2,AAPL
AMZN,Amazon,2023-01-31,sentiment_spillover,2023-02-02,-2,AAPL
NVDA,NVIDIA,2023-01-31,sentiment_spillover,2023-02-02,-2,AAPL
META,Meta,2023-01-31,sentiment_spillover,2023-02-02,-2,AAPL
TSLA,Tesla,2023-01-31,sentiment_spillover,2023-02-02,-2,AAPL
MSFT,Microsoft,2023-01-30,sentiment_spillover,2023-02-02,-3,AAPL
GOOGL,Alphabet,2023-01-30,sentiment_spillover,2023-02-02,-3,AAPL
AMZN,Amazon,2023-01-30,sentiment_spillover,2023-02-02,-3,AAPL
NVDA,NVIDIA,2023-01-30,sentiment_spillover,2023-02-02,-3,AAPL
META,Meta,2023-01-30,sentiment_spillover,2023-02-02,-3,AAPL
TSLA,Tesla,2023-01-30,sentiment_spillover,2023-02-02,-3,AAPL
MSFT,Microsoft,2023-01-29,sentiment_spillover,2023-02-02,-4,AAPL
GOOGL,Alphabet,2023-01-29,sentiment_spillover,2023-02-02,-4,AAPL
AMZN,Amazon,2023-01-29,sentiment_spillover,2023-02-02,-4,AAPL
NVDA,NVIDIA,2023-01-29,sentiment_spillover,2023-02-02,-4,AAPL
META,Meta,2023-01-29,sentiment_spillover,2023-02-02,-4,AAPL
TSLA,Tesla,2023-01-29,sentiment_spillover,2023-02-02,-4,AAPL
MSFT,Microsoft,2023-01-28,sentiment_spillover,2023-02-02,-5,AAPL
GOOGL,Alphabet,2023-01-28,sentiment_spillover,2023-02-02,-5,AAPL
AMZN,Amazon,2023-01-28,sentiment_spillover,2023-02-02,-5,AAPL
NVDA,NVIDIA,2023-01-28,sentiment_spillover,2023-02-02,-5,AAPL
META,Meta,2023-01-28,sentiment_spillover,2023-02-02,-5,AAPL
TSLA,Tesla,2023-01-28,sentiment_spillover,2023-02-02,-5,AAPL
MSFT,Microsoft,2023-01-27,sentiment_spillover,2023-02-02,-6,AAPL
GOOGL,Alphabet,2023-01-27,sentiment_spillover,2023-02-02,-6,AAPL
AMZN,Amazon,2023-01-27,sentiment_spillover,2023-02-02,-6,AAPL
NVDA,NVIDIA,2023-01-27,sentiment_spillover,2023-02-02,-6,AAPL
META,Meta,2023-01-27,sentiment_spillover,2023-02-02,-6,AAPL
TSLA,Tesla,2023-01-27,sentiment_spillover,2023-02-02,-6,AAPL
MSFT,Microsoft,2023-01-26,sentiment_spillover,2023-02-02,-7,AAPL
GOOGL,Alphabet,2023-01-26,sentiment_spillover,2023-02-02,-7,AAPL
AMZN,Amazon,2023-01-26,sentiment_spillover,2023-02-02,-7,AAPL
NVDA,NVIDIA,2023-01-26,sentiment_spillover,2023-02-02,-7,AAPL
META,Meta,2023-01-26,sentiment_spillover,2023-02-02,-7,AAPL
TSLA,Tesla,2023-01-26,sentiment_spillover,2023-02-02,-7,AAPL
MSFT,Microsoft,2023-01-03,quiet_spillover,2023-02-02,-30,AAPL
GOOGL,Alphabet,2023-01-03,quiet_spillover,2023-02-02,-30,AAPL
AMZN,Amazon,2023-01-03,quiet_spillover,2023-02-02,-30,AAPL
NVDA,NVIDIA,2023-01-03,quiet_spillover,2023-02-02,-30,AAPL
META,Meta,2023-01-03,quiet_spillover,2023-02-02,-30,AAPL
TSLA,Tesla,2023-01-03,quiet_spillover,2023-02-02,-30,AAPL
MSFT,Microsoft,2023-01-02,quiet_spillover,2023-02-02,-31,AAPL
GOOGL,Alphabet,2023-01-02,quiet_spillover,2023-02-02,-31,AAPL
AMZN,Amazon,2023-01-02,quiet_spillover,2023-02-02,-31,AAPL
NVDA,NVIDIA,2023-01-02,quiet_spillover,2023-02-02,-31,AAPL
META,Meta,2023-01-02,quiet_spillover,2023-02-02,-31,AAPL
TSLA,Tesla,2023-01-02,quiet_spillover,2023-02-02,-31,AAPL
MSFT,Microsoft,2023-01-01,quiet_spillover,2023-02-02,-32,AAPL
GOOGL,Alphabet,2023-01-01,quiet_spillover,2023-02-02,-32,AAPL
AMZN,Amazon,2023-01-01,quiet_spillover,2023-02-02,-32,AAPL
NVDA,NVIDIA,2023-01-01,quiet_spillover,2023-02-02,-32,AAPL
META,Meta,2023-01-01,quiet_spillover,2023-02-02,-32,AAPL
TSLA,Tesla,2023-01-01,quiet_spillover,2023-02-02,-32,AAPL
MSFT,Microsoft,2022-12-31,quiet_spillover,2023-02-02,-33,AAPL
GOOGL,Alphabet,2022-12-31,quiet_spillover,2023-02-02,-33,AAPL
AMZN,Amazon,2022-12-31,quiet_spillover,2023-02-02,-33,AAPL
NVDA,NVIDIA,2022-12-31,quiet_spillover,2023-02-02,-33,AAPL
META,Meta,2022-12-31,quiet_spillover,2023-02-02,-33,AAPL
TSLA,Tesla,2022-12-31,quiet_spillover,2023-02-02,-33,AAPL
MSFT,Microsoft,2022-12-30,quiet_spillover,2023-02-02,-34,AAPL
GOOGL,Alphabet,2022-12-30,quiet_spillover,2023-02-02,-34,AAPL
AMZN,Amazon,2022-12-30,quiet_spillover,2023-02-02,-34,AAPL
NVDA,NVIDIA,2022-12-30,quiet_spillover,2023-02-02,-34,AAPL
META,Meta,2022-12-30,quiet_spillover,2023-02-02,-34,AAPL
TSLA,Tesla,2022-12-30,quiet_spillover,2023-02-02,-34,AAPL
MSFT,Microsoft,2022-12-29,quiet_spillover,2023-02-02,-35,AAPL
GOOGL,Alphabet,2022-12-29,quiet_spillover,2023-02-02,-35,AAPL
AMZN,Amazon,2022-12-29,quiet_spillover,2023-02-02,-35,AAPL
NVDA,NVIDIA,2022-12-29,quiet_spillover,2023-02-02,-35,AAPL
META,Meta,2022-12-29,quiet_spillover,2023-02-02,-35,AAPL
TSLA,Tesla,2022-12-29,quiet_spillover,2023-02-02,-35,AAPL
MSFT,Microsoft,2022-12-28,quiet_spillover,2023-02-02,-36,AAPL
GOOGL,Alphabet,2022-12-28,quiet_spillover,2023-02-02,-36,AAPL
AMZN,Amazon,2022-12-28,quiet_spillover,2023-02-02,-36,AAPL
NVDA,NVIDIA,2022-12-28,quiet_spillover,2023-02-02,-36,AAPL
META,Meta,2022-12-28,quiet_spillover,2023-02-02,-36,AAPL
TSLA,Tesla,2022-12-28,quiet_spillover,2023-02-02,-36,AAPL
MSFT,Microsoft,2022-12-27,quiet_spillover,2023-02-02,-37,AAPL
GOOGL,Alphabet,2022-12-27,quiet_spillover,2023-02-02,-37,AAPL
AMZN,Amazon,2022-12-27,quiet_spillover,2023-02-02,-37,AAPL
NVDA,NVIDIA,2022-12-27,quiet_spillover,2023-02-02,-37,AAPL
META,Meta,2022-12-27,quiet_spillover,2023-02-02,-37,AAPL
TSLA,Tesla,2022-12-27,quiet_spillover,2023-02-02,-37,AAPL
MSFT,Microsoft,2022-10-26,sentiment_spillover,2022-10-27,-1,AAPL
GOOGL,Alphabet,2022-10-26,sentiment_spillover,2022-10-27,-1,AAPL
AMZN,Amazon,2022-10-26,sentiment_spillover,2022-10-27,-1,AAPL
NVDA,NVIDIA,2022-10-26,sentiment_spillover,2022-10-27,-1,AAPL
META,Meta,2022-10-26,sentiment_spillover,2022-10-27,-1,AAPL
TSLA,Tesla,2022-10-26,sentiment_spillover,2022-10-27,-1,AAPL
MSFT,Microsoft,2022-10-25,sentiment_spillover,2022-10-27,-2,AAPL
GOOGL,Alphabet,2022-10-25,sentiment_spillover,2022-10-27,-2,AAPL
AMZN,Amazon,2022-10-25,sentiment_spillover,2022-10-27,-2,AAPL
NVDA,NVIDIA,2022-10-25,sentiment_spillover,2022-10-27,-2,AAPL
META,Meta,2022-10-25,sentiment_spillover,2022-10-27,-2,AAPL
TSLA,Tesla,2022-10-25,sentiment_spillover,2022-10-27,-2,AAPL
MSFT,Microsoft,2022-10-24,sentiment_spillover,2022-10-27,-3,AAPL
GOOGL,Alphabet,2022-10-24,sentiment_spillover,2022-10-27,-3,AAPL
AMZN,Amazon,2022-10-24,sentiment_spillover,2022-10-27,-3,AAPL
NVDA,NVIDIA,2022-10-24,sentiment_spillover,2022-10-27,-3,AAPL
META,Meta,2022-10-24,sentiment_spillover,2022-10-27,-3,AAPL
